date,state,district_or_nearest_town,latitude,longitude,coordinate_quality,description,source_citation
"2011-09-18","Sikkim","Lachung, North Sikkim (then)","27.67877","88.73614","exact","Earthquake-triggered rock fall; part of the large 18 Sep 2011 Sikkim earthquake landslide inventory.","S1"
"2011-09-18","Sikkim","Chumsang, North Sikkim (then)","27.68411","88.73796","exact","Earthquake-triggered rock/debris slide recorded during field GPS survey.","S1"
"2011-09-18","Sikkim","Bitchu, North Sikkim (then)","27.67530","88.73307","exact","Earthquake-triggered debris slide recorded in North Sikkim.","S1"
"2011-09-18","Sikkim","Lachung Chu, North Sikkim (then)","27.64941","88.71968","exact","Earthquake-triggered rock/debris slide along the Lachung road corridor.","S1"
"2011-09-18","Sikkim","Khedum, North Sikkim (then)","27.62940","88.69583","exact","Earthquake-triggered rock/debris slide.","S1"
"2011-09-18","Sikkim","Malten, North Sikkim (then)","27.62712","88.68282","exact","Earthquake-triggered rock/debris slide.","S1"
"2011-09-18","Sikkim","Bop, North Sikkim (then)","27.61216","88.65630","exact","Earthquake-triggered rock/debris slide.","S1"
"2011-09-18","Sikkim","Rangmarange, North Sikkim (then)","27.61052","88.63923","exact","Earthquake-triggered rock fall/debris slide affecting road infrastructure.","S1"
"2011-09-18","Sikkim","Firing, North Sikkim (then)","27.62235","88.61857","exact","Earthquake-triggered rock fall recorded during post-earthquake field survey.","S1"
"2011-09-18","Sikkim","Munshithang, North Sikkim (then)","27.63849","88.61434","exact","Earthquake-triggered debris slide.","S1"
"2011-09-18","Sikkim","Chaten, North Sikkim (then)","27.72273","88.55279","exact","Earthquake-triggered debris slide on the Chungthang-Lachen corridor.","S1"
"2011-09-18","Sikkim","Lachen, North Sikkim (then)","27.73150","88.54865","exact","Earthquake-triggered debris slide/rock fall around Lachen.","S1"
"2011-09-18","Sikkim","Chungthang Bazar, North Sikkim (then)","27.60286","88.64701","exact","Earthquake-triggered rock fall at Chungthang Bazar.","S1"
"2018-06-15/16","Assam","Mahur, Dima Hasao","25.18308","93.11339","approx-town","Heavy rainfall triggered landslides across Dima Hasao; Mahur was specifically reported among affected locations, with road/house damage and a death in the district cluster.","S2"
"2018-06-15/16","Assam","Harangajao, Dima Hasao","25.11670","92.85715","approx-town","Rainfall-triggered landslide during the June 2018 Dima Hasao disaster; rail and road connectivity were disrupted.","S2"
"2018-06-15/16","Assam","Maibang, Dima Hasao","25.30210","93.13330","approx-town","Rainfall-triggered landslide during widespread June 2018 rainfall; substantial housing/infrastructure damage reported in the Dima Hasao cluster.","S2"
"2022-05-14","Assam","Hokai Pungchi, near Haflong, Dima Hasao","25.16450","93.01760","approx-town","Major rainfall-triggered landslide flattened houses at Hokai Pungchi; three people were killed in the incident/cluster.","S3"
"2022-05-14","Assam","New Haflong Railway Station, Dima Hasao","25.16450","93.01760","approx-town","Multiple rainfall-triggered debris flows buried portions of New Haflong railway station and overturned/buried train coaches.","S4"
"2018-07-11","Manipur","New Salem, Tamenglong","24.98793","93.49529","approx-town","Torrential-rain-triggered landslides struck New Salem and nearby villages; five children from one family were among the fatalities.","S5"
"2024-07-29","Manipur","Dimthanlong Village, Tamenglong","24.98793","93.49529","approx-town","Heavy-rainfall-triggered landslide struck a house in Dimthanlong Ward 3; a mother and her two-year-old child were killed and two others injured.","S6"
"2022-04-04","Meghalaya","Umblai Village, East Khasi Hills","25.35861","91.97208","exact","Rainfall-triggered rapid debris slide; GSI measured approximately 68 m2 area and 34 m3 volume. Two houses and two shops were damaged according to district authorities.","S7"
"2022-04-04","Meghalaya","Lynshing Village, East Khasi Hills","25.39611","91.99194","exact","Rainfall-triggered rapid deep rotational slide along the Mawkynrew-Lynshing road; GSI recorded approximately 972 m2 area and 5,832 m3 volume.","S8"
"2023-10-08","Meghalaya","Pynthor Langtein, West Jaintia Hills","25.45","92.20","approx-village","Incessant rain triggered a landslide that partially buried a house; four members of one family were killed.","S9"
"2019-07/2019","Nagaland","Bhandari, Wokha","26.333","94.500","approx-town","GSI investigation found a slide about 2 km southeast of Bhandari; multi-temporal imagery indicated initiation in July 2017 and reactivation in 2018 and 2019.","S10"
"2021-09-08","Nagaland","Chumukedima-Ghaspani, near Patkai Bridge","25.78181","93.80181","exact","Landslide along NH-29 after monsoon rainfall; GSI investigated the site the following day and documented the geological and geotechnical setting.","S11"
"2020-07-10","Arunachal Pradesh","Tigdo, near Doimukh, Papum Pare","27.13469","93.74347","exact","Heavy rainfall combined with steep/improper slope cutting triggered a sudden debris-flow/translation slide; four people died and a house was destroyed.","S12"
"2021-06/07","Arunachal Pradesh","Chimpu-Hollongi Road, Papum Pare","27.03106","93.62292","exact","Heavy rainfall and unplanned road-cutting triggered landslides along NH-415, damaging the road and disrupting traffic.","S13"
"2018-06","Mizoram","Lunglawn, Lunglei","22.87252","92.75237","approx-village","Monsoon rainfall triggered a fatal landslide in Lunglawn/Lunglei; contemporary reporting recorded ten deaths in the Lunglawn event.","S14"
"2023-06-16","Mizoram","Hunthar, western Aizawl","23.74400","92.70300","approx-locality","Heavy/incessant rain triggered a major landslide on NH-6 at Hunthar on the western outskirts of Aizawl; traffic was disrupted and no fatalities were initially reported.","S15"
"2018-05-18","Tripura","Thambukbari, Mohanpur, West Tripura","23.98978","91.40698","approx-village","Pre-monsoon rainfall triggered a landslide that struck a house in Thambukbari; three members of one family and another man died.","S16"
"2018-05-20","Tripura","Dhanlekha Kaipengpara, Gomati","23.53300","91.48300","approx-district-town","Heavy-rainfall-triggered landslide caused collapse of mud walls of a house; a 17-year-old girl died and three others were seriously injured.","S17"
